service,group,item,price_min,price_max,display_price,add_on,popular,custom_quote,estimated_labor_min_minutes,estimated_labor_max_minutes,pricing_bucket,target_platform_gross,standalone_rule,recommended_action,assumption_notes
Furniture Assembly,Seating & Sofas,Accent chair / armchair,75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Seating & Sofas,"Sofa (2-3 seat, standard)",89,89,$89,No,No,No,60,100,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Standard furniture build.
Furniture Assembly,Seating & Sofas,Sectional sofa (L-shape),125,155,$125-$155,No,Yes,No,75,140,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Package count and hardware matter.
Furniture Assembly,Seating & Sofas,Sectional sofa (U-shape / oversized),179,179,$179,No,No,No,75,140,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Package count and hardware matter.
Furniture Assembly,Seating & Sofas,Sleeper sofa / sofa bed,109,109,$109,No,No,No,75,140,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Package count and hardware matter.
Furniture Assembly,Seating & Sofas,Ottoman (storage),75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Seating & Sofas,Bench (entryway or bedroom),75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Bedroom,Bed frame - twin / full,85,85,$85,No,No,No,60,110,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Standard bedroom build.
Furniture Assembly,Bedroom,Bed frame - queen,95,95,$95,No,Yes,No,60,110,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Standard bedroom build.
Furniture Assembly,Bedroom,Bed frame - king / cal king,109,109,$109,No,No,No,60,110,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Standard bedroom build.
Furniture Assembly,Bedroom,Bed frame with storage drawers,125,125,$125,No,No,No,90,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Drawers/headboard increase time.
Furniture Assembly,Bedroom,Platform bed with upholstered headboard,135,135,$135,No,No,No,90,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Drawers/headboard increase time.
Furniture Assembly,Bedroom,Bunk bed / loft bed,149,149,$149,No,No,No,120,210,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Safety and ladder/rail setup matter.
Furniture Assembly,Bedroom,Trundle bed,109,109,$109,No,No,No,45,90,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Validate after launch.
Furniture Assembly,Bedroom,Crib / toddler bed,85,85,$85,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Validate after launch.
Furniture Assembly,Bedroom,Nightstand (single),75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Bedroom,Dresser (up to 6 drawers),85,85,$85,No,No,No,75,150,Premium,$50-$75 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Anchoring add-on may apply.
Furniture Assembly,Bedroom,Dresser (7+ drawers / double),109,109,$109,No,No,No,75,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Anchoring add-on may apply.
Furniture Assembly,Bedroom,Wardrobe / armoire (freestanding),109,135,$109-$135,No,No,No,75,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Anchoring add-on may apply.
Furniture Assembly,Bedroom,IKEA PAX wardrobe (single unit),139,139,$139,No,Yes,No,120,210,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Model size and anchoring matter.
Furniture Assembly,Bedroom,IKEA PAX wardrobe (per additional unit),79,79,$79,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
Furniture Assembly,Bedroom,Vanity with mirror,95,95,$95,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Validate after launch.
Furniture Assembly,Home Office & Study,"Desk (simple, flat-pack)",75,75,$75,No,No,No,45,80,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Furniture Assembly,Home Office & Study,Desk (L-shape / corner),109,109,$109,No,No,No,75,130,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Complex desk build.
Furniture Assembly,Home Office & Study,Standing desk (electric),109,109,$109,No,No,No,75,130,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Complex desk build.
Furniture Assembly,Home Office & Study,Office chair (standard),75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking or bundle.
Furniture Assembly,Home Office & Study,Bookcase / shelving unit (up to 5 shelves),75,75,$75,No,No,No,45,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Furniture Assembly,Home Office & Study,Bookcase / shelving unit (6+ shelves),89,89,$89,No,No,No,60,100,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Wall anchoring add-on may apply.
