service,group,item,price_min,price_max,display_price,addon,popular,custom_quote,notes_for_financial_model
Furniture Assembly,Seating & Sofas,Accent chair / armchair,75,75,$75,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Seating & Sofas,"Sofa (2-3 seat, standard)",89,89,$89,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Seating & Sofas,Sectional sofa (L-shape),125,155,$125-$155,No,Yes,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Seating & Sofas,Sectional sofa (U-shape / oversized),179,179,$179,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Seating & Sofas,Sleeper sofa / sofa bed,109,109,$109,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Seating & Sofas,Ottoman (storage),75,75,$75,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Seating & Sofas,Bench (entryway or bedroom),75,75,$75,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Bed frame - twin / full,85,85,$85,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Bed frame - queen,95,95,$95,No,Yes,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Bed frame - king / cal king,109,109,$109,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Bed frame with storage drawers,125,125,$125,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Platform bed with upholstered headboard,135,135,$135,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Bunk bed / loft bed,149,149,$149,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Trundle bed,109,109,$109,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Crib / toddler bed,85,85,$85,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Nightstand (single),75,75,$75,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Dresser (up to 6 drawers),85,85,$85,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Dresser (7+ drawers / double),109,109,$109,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,Wardrobe / armoire (freestanding),109,135,$109-$135,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,IKEA PAX wardrobe (single unit),139,139,$139,No,Yes,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Bedroom,IKEA PAX wardrobe (per additional unit),79,79,$79,Yes,No,No,Treat as same-visit add-on unless bundled into minimum booking.
Furniture Assembly,Bedroom,Vanity with mirror,95,95,$95,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Home Office & Study,"Desk (simple, flat-pack)",75,75,$75,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Home Office & Study,Desk (L-shape / corner),109,109,$109,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Home Office & Study,Standing desk (electric),109,109,$109,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Home Office & Study,Office chair (standard),75,75,$75,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Home Office & Study,Bookcase / shelving unit (up to 5 shelves),75,75,$75,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Home Office & Study,Bookcase / shelving unit (6+ shelves),89,89,$89,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Home Office & Study,File cabinet (2-4 drawer),75,75,$75,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Dining & Kitchen,Dining table (standard),79,79,$79,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Dining & Kitchen,Dining table (extendable / large),109,109,$109,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Dining & Kitchen,Dining chairs (per 2 chairs),75,75,$75,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Dining & Kitchen,Dining chairs (set of 4-6),75,95,$75-$95,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Dining & Kitchen,Bar stool (per 2 stools),75,75,$75,No,No,No,Model standalone profitability and minimum booking impact.
Furniture Assembly,Dining & Kitchen,Kitchen island (freestanding),95,95,$95,No,No,No,Model standalone profitability and minimum booking impact.
